"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
3548	1	178.5100719	254.0798561	167.3425827	1390	48.15805811
3549	1	178.8720345	254.0675773	170.7577375	1391	48.25519457
3550	1	178.9193665	254.1468683	170.0106724	1389	48.97178005
3551	1	179.3268398	254.0064935	164.7812166	1386	48.97405592
3552	1	179.278098	253.9207493	171.9316969	1388	48.15731867
3553	1	179.728777	254.0223022	171.5048026	1390	48.12530108
3554	1	179.7709978	254.0839914	170.1173959	1393	48.01161359
3555	1	179.9518332	254.0280374	168.0896478	1391	47.9470731
3556	1	180.1	253.9215827	172.9989328	1390	48.65191479
3557	1	180.6168224	253.4658519	171.1846318	1391	49.65997793
3558	1	181.0338617	253.5252161	168.8367129	1388	49.81824494
3559	1	181.371408	252.9425287	170.7577375	1392	48.99071502
3560	1	181.7593391	252.6817529	170.6510139	1392	49.8467533
3561	1	182.2489209	252.9820144	168.5165422	1390	49.58707732
3562	1	182.592219	252.8789625	172.8922092	1388	50.09672201
3563	1	182.5929648	253.0007179	172.4653148	1393	50.79952999
3564	1	182.6107914	253.0741007	168.7299893	1390	50.42497454
3565	1	183.0381295	253.5410072	173.4258271	1390	49.66866295
3566	1	183.3925234	253.5823149	168.9434365	1391	49.73921567
3567	1	183.8037383	253.8454349	169.9039488	1391	49.80321989
3568	1	184.0959596	254.0108225	165.5282818	1386	48.54639745
3569	1	184.6131805	254.1346705	169.4770544	1396	48.11062609
3570	1	185.0223022	254.5316547	170.3308431	1390	47.12532655
3571	1	185.5323276	254.5862069	172.3585912	1392	47.86276704
3572	1	185.6530172	254.3987069	169.4770544	1392	48.03088274
3573	1	185.9489576	254.5629044	169.9039488	1391	46.62359023
3574	1	186.6357091	254.4427646	172.9989328	1389	46.85102495
3575	1	186.7102804	254.4219986	167.6627535	1391	46.03077574
3576	1	186.7586455	254.2082133	168.8367129	1388	46.39186708
3577	1	187.366571	254.0774749	170.5442903	1394	46.53848818
3578	1	187.7431457	253.9350649	172.8922092	1386	46.75151918
3579	1	188.3537464	253.693804	170.1173959	1388	46.57630047
3580	1	188.7622126	253.720546	170.864461	1392	46.4289757
3581	1	189.0512266	253.8520924	166.5955176	1386	45.91777346
3582	1	189.2251799	253.9302158	171.1846318	1390	46.66031967
3583	1	189.3568854	253.8781543	168.6232657	1387	46.75267613
3584	1	189.8324946	253.7541337	170.0106724	1391	46.69302408
3585	1	190.5959741	253.6491733	167.4493063	1391	47.01958041
3586	1	191.0086083	253.5222382	168.8367129	1394	47.33167336
3587	1	191.0716846	253.7921147	172.9989328	1395	47.12049109
3588	1	191.5456506	253.9741193	170.5442903	1391	46.63908607
3589	1	192.1557318	254.075703	168.303095	1387	45.88324498
3590	1	192.678392	254.1507538	170.6510139	1393	45.27453347
3591	1	192.8645533	254.0021614	170.2241195	1388	45.18004329
3592	1	192.8396837	254.0402588	170.9711846	1391	43.87476664
3593	1	193.4960517	254.2713568	167.8762006	1393	43.62031698
3594	1	194.053802	253.8967001	167.8762006	1394	43.92765835
3595	1	194.7741935	253.5577061	171.398079	1395	43.76753514
3596	1	195.2855083	253.5025234	168.4098186	1387	44.49775194
3597	1	195.7462257	253.5873472	170.4375667	1391	44.64804653
3598	1	196.2143885	253.5115108	169.6905016	1390	44.55825142
3599	1	197.0360231	253.287464	167.8762006	1388	43.89743375
3600	1	197.3631769	253.2548736	165.5282818	1385	43.88349977
