"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
2412	1	137.1246398	155.95317	179.1889007	1388	70.96822918
2413	1	138.2494608	156.08555	178.86873	1391	72.04899383
2414	1	138.8442682	156.1081471	174.8132337	1387	72.31005
2415	1	139.6306695	155.9805616	174.3863394	1389	71.20614422
2416	1	140.5838109	155.7729226	179.7225187	1396	72.46099633
2417	1	140.7435159	155.8883285	180.4695838	1388	71.89568773
2418	1	140.7098632	155.7566595	180.4695838	1389	71.43164454
2419	1	141.325665	155.6153846	180.6830309	1391	70.60370004
2420	1	141.6736311	155.45317	177.6947705	1388	69.56149706
2421	1	142.9043165	155.3633094	177.4813234	1390	68.9593927
2422	1	143.3081353	155.12527	177.9082177	1389	68.16076209
2423	1	144.3558106	155.1183644	176.5208111	1394	68.88483777
2424	1	144.5417266	155.2805755	177.9082177	1390	69.30896056
2425	1	144.8312994	155.2878679	178.9754536	1393	69.67371654
2426	1	145.8432782	155.4457225	180.0426894	1391	69.51758644
2427	1	146.0589504	155.5420561	176.3073639	1391	70.0401138
2428	1	146.7447879	155.4155284	177.054429	1391	69.37230639
2429	1	147.4974874	155.4357502	180.5763074	1393	69.4341916
2430	1	148.5619184	155.2584109	176.8409819	1397	68.55119202
2431	1	149.6465083	154.9366451	175.3468517	1389	67.43239155
2432	1	150.5035765	154.9885551	172.2518677	1398	66.93684434
2433	1	151.4381295	154.7194245	177.588047	1390	66.51382449
2434	1	152.3838965	154.7548526	178.5485592	1391	67.73765841
2435	1	152.5991379	154.7126437	180.6830309	1392	67.96355303
2436	1	152.8159597	154.8698778	179.4023479	1391	68.14362976
2437	1	153.503954	155.0129403	179.9359658	1391	68.44506159
2438	1	153.6400288	155.1346292	178.6552828	1389	67.51089825
2439	1	154.1279655	155.139468	179.5090715	1391	68.53239958
2440	1	154.9410496	154.9417685	180.4695838	1391	68.05128738
2441	1	155.6141109	155.0734341	179.6157951	1389	68.21241914
2442	1	156.2014388	155.1007194	181.4300961	1390	69.49559015
2443	1	156.3328541	155.194105	180.6830309	1391	68.90099848
2444	1	156.7938218	155.2471264	179.8292423	1392	68.28635721
2445	1	156.932852	155.2851986	179.4023479	1385	68.35253172
2446	1	157.4870875	155.3758967	182.1771612	1394	68.47326919
2447	1	157.7121321	155.4242642	180.5763074	1393	68.22995145
2448	1	158.3400576	155.4755043	175.8804696	1388	68.16540423
2449	1	159.1710999	155.333573	178.3351121	1391	67.96797994
2450	1	159.2812052	155.3593974	180.5763074	1394	68.71636389
2451	1	159.8820992	155.4816679	178.2283885	1391	67.7690235
2452	1	160.5840517	155.2227011	175.5602988	1392	66.49394742
2453	1	161.0668584	155.3522646	175.8804696	1391	66.88478726
2454	1	161.5919828	155.2899069	178.86873	1397	67.38679098
2455	1	163.2516129	154.9899642	178.1216649	1395	67.54300369
2456	1	163.8090778	154.9099424	176.6275347	1388	67.07268145
2457	1	163.9697842	155.0834532	178.2283885	1390	66.80787174
2458	1	164.1449171	154.9920692	174.1728922	1387	66.09361192
2459	1	164.5100865	154.9654179	174.7065101	1388	65.79742786
2460	1	164.6820144	154.7705036	173.2123799	1390	65.67305657
2461	1	164.9373199	154.7291066	176.3073639	1388	65.3065979
2462	1	165.1382289	154.5457163	172.7854856	1389	64.72307961
2463	1	165.852624	154.3910855	170.1173959	1391	64.09944085
