"time"	"cell.id"	"cell.center.x"	"cell.center.y"	"cell.surface"	"cell.volume"	"cell.length"
1507	1	20.39020878	107.9287257	164.6744931	1389	48.84514031
1508	1	19.99207493	108.1945245	168.0896478	1388	49.53756616
1509	1	19.8368231	108.1429603	163.5005336	1385	49.69237134
1510	1	19.95755396	108.5640288	164.4610459	1390	50.29816136
1511	1	19.84974838	108.3781452	169.0501601	1391	51.12658203
1512	1	19.64777618	108.0114778	169.6905016	1394	50.74995141
1513	1	19.75396825	108.5620491	169.583778	1386	51.42657524
1514	1	19.52771778	108.762419	167.6627535	1389	51.75431556
1515	1	19.73165468	108.9633094	170.9711846	1390	52.67512757
1516	1	19.63950973	109.0879596	170.6510139	1387	52.68701028
1517	1	19.65781923	109.2482066	169.6905016	1394	52.87902228
1518	1	19.5737941	109.9452844	164.6744931	1389	53.0440985
1519	1	19.70151406	110.0418169	173.2123799	1387	54.33950923
1520	1	19.68417266	110.9669065	172.4653148	1390	53.74633165
1521	1	19.59221902	111.5129683	169.0501601	1388	53.26680134
1522	1	19.51508621	111.858477	171.6115261	1392	53.34639129
1523	1	19.52979182	112.4106246	170.864461	1393	53.95178114
1524	1	19.53199137	112.907261	170.4375667	1391	54.06833948
1525	1	19.11527378	113.240634	170.3308431	1388	53.76420294
1526	1	19.06532663	113.1981335	165.208111	1393	53.38913613
1527	1	18.96836808	113.0690151	172.1451441	1391	53.47720343
1528	1	18.86383285	112.9430836	168.7299893	1388	52.13440186
1529	1	18.78901734	113.6264451	168.7299893	1384	51.98120527
1530	1	18.78057554	114.1654676	169.6905016	1390	51.84132195
1531	1	18.51298701	114.6760462	170.0106724	1386	50.73552616
1532	1	18.85003605	114.9091565	168.6232657	1387	50.58920858
1533	1	18.7049062	115.3823954	170.1173959	1386	51.14112163
1534	1	18.51440922	115.528098	168.9434365	1388	50.76532966
1535	1	18.43000718	116.068916	171.0779082	1393	51.66582528
1536	1	18.16212339	117.0050215	169.7972252	1394	51.62011178
1537	1	18.47804176	117.1267099	167.6627535	1389	52.77471579
1538	1	18.20114943	117.6630747	170.1173959	1392	53.00022534
1539	1	18.42764579	118.2786177	170.4375667	1389	53.5099252
1540	1	17.9612069	118.0969828	170.864461	1392	54.25188698
1541	1	17.95677233	118.6231988	174.1728922	1388	53.90820328
1542	1	17.85632184	119.2988506	169.7972252	1392	52.79861538
1543	1	17.80461428	120.0987743	169.6905016	1387	51.82671581
