simulation_id,folder_name,model_type,track_type,domain_width,domain_height,domain_file,gradient_file,gradient_scale,mcs_duration,folder_path,png_count,total_frames,frames_analyzed,frames_skipped,collision_frames,collision_percentage,max_collision_intensity,mean_collision_intensity,track_progress_percentage,max_y_position,progress_data_source
1772,Rac-Rho_Collision_TrackB_1772,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1772,601,601,586,15,579,98.80546075085324,0.001363423173831,0.0009057444181795,74.49755555555555,335.239,celltracks
1773,Rac-Rho_Collision_TrackB_1773,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1773,601,601,586,15,584,99.65870307167236,0.0011777792318262,0.0008331260109522,23.201333333333334,104.406,celltracks
1774,Rac-Rho_Collision_TrackB_1774,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1774,601,601,586,15,577,98.4641638225256,0.0014851214851214,0.0008967835174182,74.89333333333333,337.02,celltracks
1775,Rac-Rho_Collision_TrackB_1775,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1775,601,601,586,15,577,98.4641638225256,0.001474265870199,0.0009611759841891,74.85400000000001,336.843,celltracks
1776,Rac-Rho_Collision_TrackB_1776,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1776,601,601,586,15,577,98.4641638225256,0.0012874927714918,0.0008671544965486,74.99111111111111,337.46,celltracks
1777,Rac-Rho_Collision_TrackB_1777,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1777,601,601,586,15,576,98.29351535836176,0.0013856611349328,0.0009125267450812,74.96733333333333,337.353,celltracks
1778,Rac-Rho_Collision_TrackB_1778,Rac-Rho,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho_Collision_TrackB_1778,601,601,586,15,578,98.63481228668942,0.0011777021722062,0.0007936876135283,21.624133333333333,97.3086,celltracks
1913,Rac-Rho-T_Collision_TrackB_1913,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1913,416,416,401,15,355,88.5286783042394,0.0012767489824201,0.000339261747571,96.5,579.0,images
1917,Rac-Rho-T_Collision_TrackB_1917,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1917,401,401,386,15,344,89.11917098445595,0.0014296003666761,0.0003705696595473,96.90377777777778,436.067,celltracks
1920,Rac-Rho-T_Collision_TrackB_1920,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1920,401,401,386,15,329,85.23316062176166,0.001494376997502,0.000375014098868,96.1631111111111,432.734,celltracks
1921,Rac-Rho-T_Collision_TrackB_1921,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1921,601,601,586,15,519,88.56655290102388,0.0015489500954458,0.000438777662013,96.84888888888888,435.82,celltracks
1922,Rac-Rho-T_Collision_TrackB_1922,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1922,601,601,586,15,544,92.83276450511946,0.0013745704467353,0.0004888029966161,96.99755555555556,436.489,celltracks
1923,Rac-Rho-T_Collision_TrackB_1923,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1923,601,601,586,15,519,88.56655290102388,0.0014836633393334,0.0004102856510756,94.82866666666666,426.729,celltracks
1924,Rac-Rho-T_Collision_TrackB_1924,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1924,601,601,586,15,544,92.83276450511946,0.0013312963771278,0.0004730601587061,96.95066666666668,436.278,celltracks
1925,Rac-Rho-T_Collision_TrackB_1925,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1925,601,601,586,15,516,88.05460750853243,0.0013852379446122,0.000387124360897,96.87155555555556,435.922,celltracks
1926,Rac-Rho-T_Collision_TrackB_1926,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1926,601,601,586,15,516,88.05460750853243,0.001450634789058,0.0003851073829331,97.13644444444444,437.114,celltracks
1927,Rac-Rho-T_Collision_TrackB_1927,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1927,601,601,586,15,521,88.90784982935153,0.0014506664339783,0.0004358401662685,95.24777777777776,428.615,celltracks
1928,Rac-Rho-T_Collision_TrackB_1928,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1928,601,601,586,15,533,90.9556313993174,0.0013635570294091,0.0004830421154084,96.88755555555556,435.994,celltracks
1929,Rac-Rho-T_Collision_TrackB_1929,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1929,601,601,586,15,530,90.44368600682594,0.0014078973217209,0.0004674127578087,97.152,437.184,celltracks
1930,Rac-Rho-T_Collision_TrackB_1930,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1930,601,601,586,15,509,86.86006825938567,0.0014178982385341,0.0004287734064554,96.96555555555555,436.345,celltracks
1931,Rac-Rho-T_Collision_TrackB_1931,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1931,601,601,586,15,534,91.12627986348124,0.0014398376910239,0.0004653936176661,96.91688888888888,436.126,celltracks
1932,Rac-Rho-T_Collision_TrackB_1932,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1932,601,601,586,15,525,89.59044368600682,0.0014185480614995,0.0004381130950814,97.25333333333332,437.64,celltracks
1933,Rac-Rho-T_Collision_TrackB_1933,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1933,601,601,586,15,526,89.76109215017065,0.0014394451593204,0.0004173705484515,96.76977777777778,435.464,celltracks
1934,Rac-Rho-T_Collision_TrackB_1934,Rac-Rho-T,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,0.3,data/Rac-Rho-T_Collision_TrackB_1934,601,601,586,15,553,94.36860068259386,0.0014402461511603,0.0005155952024006,97.36444444444444,438.14,celltracks
1205,WP_Collision_TrackB_1205,WP,TrackB_300x450,300.0,450.0,TrackB_300x450.tiff,TrackB_300x450_grayscale_16bit.tiff,1.0,1.0,data/WP_Collision_TrackB_1205,601,601,586,15,498,84.98293515358361,0.0013522650439486,0.0005077631500103,63.00399999999999,283.518,celltracks
